
Data;Hora;Temperatura;Umidade
2022/9/5;9:32:36;2022/9/5;9:32:48;29.40;51.00

Data;Hora;Temperatura;Umidade
2022/9/5;9:58:55;29.50;49.00
2022/9/5;9:59:5;29.50;49.00
2022/9/5;9:59:16;29.50;49.00
2022/9/5;9:59:27;29.50;49.00
2022/9/5;9:59:37;29.50;49.00
2022/9/5;9:59:48;29.50;49.00
2022/9/5;9:59:59;29.50;49.00
2022/9/5;10:0:9;29.50;49.00
2022/9/5;10:0:20;29.50;49.00
2022/9/5;10:0:31;29.50;49.00
2022/9/5;10:0:41;29.50;49.00
2022/9/5;10:0:52;29.50;49.00
2022/9/5;10:1:3;29.50;49.00
2022/9/5;10:1:13;29.50;49.00
2022/9/5;10:1:24;29.50;49.00
2022/9/5;10:1:35;29.50;49.00
2022/9/5;10:1:45;29.40;49.00
2022/9/5;10:1:56;29.50;49.00
2022/9/5;10:2:7;29.50;49.00
2022/9/5;10:2:17;29.40;49.00
2022/9/5;10:2:28;29.40;49.00
2022/9/5;10:2:39;29.50;49.00
2022/9/5;10:2:49;29.40;49.00
2022/9/5;10:3:0;29.40;49.00
2022/9/5;10:3:11;29.50;49.00
2022/9/5;10:3:21;29.50;49.00
2022/9/5;10:3:32;29.50;49.00
2022/9/5;10:3:43;29.50;49.00
2022/9/5;10:3:53;29.40;49.00
2022/9/5;10:4:4;29.50;49.00
2022/9/5;10:4:15;29.50;49.00
2022/9/5;10:4:25;29.50;49.00
2022/9/5;10:4:36;29.50;49.00
2022/9/5;10:4:46;29.40;49.00
2022/9/5;10:4:57;29.40;49.00
2022/9/5;10:5:8;29.40;49.00
2022/9/5;10:5:18;29.50;49.00
2022/9/5;10:5:29;29.50;49.00
2022/9/5;10:5:40;29.40;49.00
2022/9/5;10:5:50;29.40;49.00
2022/9/5;10:6:1;29.50;49.00
2022/9/5;10:6:12;29.40;49.00
2022/9/5;10:6:22;29.40;49.00
2022/9/5;10:6:33;29.50;49.00
2022/9/5;10:6:44;29.50;49.00
2022/9/5;10:6:54;29.50;49.00
2022/9/5;10:7:5;29.50;49.00
2022/9/5;10:7:16;29.50;49.00
2022/9/5;10:7:26;29.50;49.00
2022/9/5;10:7:37;29.50;49.00
2022/9/5;10:7:48;29.50;49.00
2022/9/5;10:7:58;29.50;49.00
2022/9/5;10:8:9;29.50;49.00
2022/9/5;10:8:20;29.50;49.00
2022/9/5;10:8:30;29.50;49.00
2022/9/5;10:8:41;29.40;49.00
2022/9/5;10:8:52;29.40;49.00
2022/9/5;10:9:2;29.40;49.00
2022/9/5;10:9:13;29.40;49.00
2022/9/5;10:9:24;29.40;49.00
2022/9/5;10:9:34;29.40;49.00
2022/9/5;10:9:45;29.40;49.00
2022/9/5;10:9:56;29.40;49.00
2022/9/5;10:10:6;29.50;49.00
2022/9/5;10:10:17;29.40;49.00
2022/9/5;10:10:28;29.50;49.00
2022/9/5;10:10:38;29.40;49.00
2022/9/5;10:10:49;29.40;49.00
2022/9/5;10:11:0;29.40;49.00
2022/9/5;10:11:10;29.40;49.00
2022/9/5;10:11:21;29.40;49.00
2022/9/5;10:11:32;29.50;49.00
2022/9/5;10:11:42;29.40;49.00
2022/9/5;10:11:53;29.40;49.00
2022/9/5;10:12:4;29.40;49.00
2022/9/5;10:12:14;29.40;49.00
2022/9/5;10:12:25;29.50;49.00
2022/9/5;10:12:36;29.40;49.00
2022/9/5;10:12:46;29.40;49.00
2022/9/5;10:12:57;29.40;49.00
2022/9/5;10:13:8;29.50;49.00
2022/9/5;10:13:18;29.40;49.00
2022/9/5;10:13:29;29.50;49.00
2022/9/5;10:13:40;29.40;49.00
2022/9/5;10:13:50;29.40;49.00
2022/9/5;10:14:1;29.40;49.00
2022/9/5;10:14:12;29.40;49.00
2022/9/5;10:14:22;29.40;49.00
2022/9/5;10:14:33;29.50;49.00
2022/9/5;10:14:44;29.50;49.00
2022/9/5;10:14:54;29.40;49.00
2022/9/5;10:15:5;29.40;49.00
2022/9/5;10:15:16;29.40;49.00
2022/9/5;10:15:26;29.40;49.00
2022/9/5;10:15:37;29.40;49.00
2022/9/5;10:15:48;29.40;49.00
2022/9/5;10:15:58;29.40;49.00
2022/9/5;10:16:9;29.40;49.00
2022/9/5;10:16:20;29.50;49.00
2022/9/5;10:16:30;29.40;49.00
2022/9/5;10:16:41;29.40;49.00
2022/9/5;10:16:52;29.40;49.00
2022/9/5;10:17:2;29.40;49.00
2022/9/5;10:17:13;29.40;49.00
2022/9/5;10:17:24;29.50;49.00
2022/9/5;10:17:34;29.40;49.00
2022/9/5;10:17:45;29.40;49.00
2022/9/5;10:17:56;29.40;49.00
2022/9/5;10:18:6;29.40;49.00
2022/9/5;10:18:17;29.40;49.00
2022/9/5;10:18:28;29.40;49.00
2022/9/5;10:18:38;29.40;49.00
2022/9/5;10:18:49;29.40;49.00
2022/9/5;10:19:0;29.40;49.00
2022/9/5;10:19:10;29.40;49.00
2022/9/5;10:19:21;29.40;49.00
