Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.00;58.00
2022/8/31,18:24:56;25.00;58.00
2022/8/31,18:25:6;25.10;58.00
2022/8/31,18:25:17;25.10;57.00
Date,Time,Temperatura ºC
2022/8/31,18:24:45;25.10;57.00
2022/9/1;9:10:11;25.90;57.00
2022/9/1;9:10:22;25.90;57.00
2022/9/1;9:10:32;25.90;57.00
2022/9/1;9:10:43;25.90;57.00
2022/9/1;9:10:54;26.00;58.00
2022/9/1;9:11:4;26.00;58.00
2022/9/1;9:11:15;26.00;58.00
2022/9/1;9:11:26;26.00;58.00
2022/9/1;9:11:36;26.10;58.00
2022/9/1;9:11:47;26.10;58.00
2022/9/1;9:11:57;26.20;58.00
2022/9/1;9:12:8;26.20;58.00
2022/9/1;9:12:19;26.20;58.00
2022/9/1;9:12:30;26.20;57.00
2022/9/1;9:12:40;26.20;57.00
2022/9/1;9:12:51;26.20;57.00
2022/9/1;9:13:1;26.30;57.00
2022/9/1;9:13:12;26.30;57.00
2022/9/1;9:13:23;26.30;57.00
2022/9/1;9:13:33;26.30;57.00
2022/9/1;9:13:44;26.30;57.00
2022/9/1;9:13:55;26.30;57.00
2022/9/1;9:14:5;26.30;57.00
2022/9/1;9:14:16;26.30;57.00
2022/9/1;9:14:27;26.30;57.00
2022/9/1;9:14:37;26.30;57.00
2022/9/1;9:14:48;26.30;57.00
2022/9/1;9:14:59;26.30;57.00
2022/9/1;9:15:9;26.30;57.00
2022/9/1;9:15:20;26.30;57.00
2022/9/1;9:15:31;26.30;57.00
2022/9/1;9:15:41;26.30;57.00
2022/9/1;9:15:52;26.30;57.00
2022/9/1;9:16:3;26.30;57.00
2022/9/1;9:16:13;26.30;57.00
2022/9/1;9:16:24;26.20;57.00
2022/9/1;9:16:35;26.20;57.00
2022/9/1;9:16:45;26.20;57.00
2022/9/1;9:16:56;26.20;57.00
2022/9/1;9:17:7;26.20;58.00
2022/9/1;9:17:17;26.20;58.00
2022/9/1;9:17:28;26.20;57.00
2022/9/1;9:17:39;26.20;57.00
2022/9/1;9:17:49;26.20;58.00
2022/9/1;9:18:0;26.30;57.00
2022/9/1;9:18:11;26.30;57.00
2022/9/1;9:18:21;26.40;57.00
2022/9/1;9:18:32;26.30;57.00
2022/9/1;9:18:43;26.30;57.00
2022/9/1;9:18:53;26.20;57.00
2022/9/1;9:19:4;26.20;57.00
2022/9/1;9:19:15;26.20;57.00
2022/9/1;9:19:25;26.20;57.00
2022/9/1;9:19:36;26.20;57.00
2022/9/1;9:19:47;26.20;57.00
2022/9/1;9:19:57;26.20;58.00
2022/9/1;9:20:8;26.10;58.00
2022/9/1;9:20:19;26.10;58.00
2022/9/1;9:20:29;26.00;58.00
2022/9/1;9:20:40;26.00;58.00
2022/9/1;9:20:51;26.00;58.00
2022/9/1;9:21:1;26.00;58.00
2022/9/1;9:21:12;26.00;58.00
2022/9/1;9:21:23;26.10;58.00
2022/9/1;9:21:33;26.00;58.00
2022/9/1;9:21:44;26.00;58.00
2022/9/1;9:21:55;26.00;58.00
2022/9/1;9:22:5;26.10;58.00
2022/9/1;9:22:16;26.10;58.00
2022/9/1;9:22:27;26.10;58.00
2022/9/1;9:22:37;26.10;58.00
2022/9/1;9:22:48;26.20;58.00
2022/9/1;9:22:59;26.10;58.00
2022/9/1;9:23:9;26.10;58.00
2022/9/1;9:23:20;26.10;58.00
2022/9/1;9:23:31;26.10;58.00
2022/9/1;9:23:41;26.00;58.00
2022/9/1;9:23:52;26.00;58.00
2022/9/1;9:24:3;26.00;58.00
2022/9/1;9:24:13;26.10;58.00
2022/9/1;9:24:24;26.00;58.00
2022/9/1;9:24:35;26.10;58.00
2022/9/1;9:24:45;26.00;58.00
2022/9/1;9:24:56;26.00;58.00
2022/9/1;9:25:7;26.00;58.00
2022/9/1;9:25:17;26.00;58.00
2022/9/1;9:25:28;26.00;58.00
2022/9/1;9:25:39;26.00;58.00
2022/9/1;9:25:49;26.00;58.00
2022/9/1;9:26:0;26.00;59.00
2022/9/1;9:26:11;26.00;58.00
2022/9/1;9:26:21;26.00;59.00
2022/9/1;9:26:32;26.00;59.00
2022/9/1;9:26:43;26.00;59.00
2022/9/1;9:26:53;26.00;59.00
2022/9/1;9:27:4;26.00;59.00
2022/9/1;9:27:15;25.90;58.00
2022/9/1;9:27:25;26.00;59.00
2022/9/1;9:27:36;26.00;59.00
2022/9/1;9:27:47;26.00;59.00
2022/9/1;9:27:57;26.00;59.00
2022/9/1;9:28:8;26.00;59.00
2022/9/1;9:28:19;26.00;59.00
2022/9/1;9:28:29;26.00;59.00
2022/9/1;9:28:40;26.00;58.00
2022/9/1;9:28:51;26.00;58.00
2022/9/1;9:29:1;26.00;58.00
2022/9/1;9:29:12;26.00;58.00
2022/9/1;9:29:23;26.00;59.00
2022/9/1;9:29:33;26.00;58.00
2022/9/1;9:29:44;26.00;58.00
2022/9/1;9:29:55;26.00;58.00
2022/9/1;9:30:5;26.00;58.00
2022/9/1;9:30:16;26.00;59.00
2022/9/1;9:30:27;26.10;59.00
2022/9/1;9:30:37;26.10;59.00
2022/9/1;9:30:48;26.10;59.00
2022/9/1;9:30:59;26.10;59.00
2022/9/1;9:31:9;26.10;59.00
2022/9/1;9:31:20;26.10;58.00
2022/9/1;9:31:31;26.10;58.00
2022/9/1;9:31:41;26.10;58.00
2022/9/1;9:31:52;26.10;58.00
2022/9/1;9:32:3;26.10;58.00
2022/9/1;9:32:13;26.10;58.00
2022/9/1;9:32:24;26.10;58.00
2022/9/1;9:32:35;26.20;58.00
2022/9/1;9:32:45;26.20;58.00
2022/9/1;9:32:56;26.20;58.00
2022/9/1;9:33:7;26.10;58.00
2022/9/1;9:33:17;26.10;58.00
2022/9/1;9:33:28;26.10;58.00
2022/9/1;9:33:39;26.10;58.00
2022/9/1;9:33:49;26.10;58.00
2022/9/1;9:34:0;26.00;58.00
2022/9/1;9:34:11;26.10;58.00
2022/9/1;9:34:21;26.10;58.00
2022/9/1;9:34:32;26.10;58.00
2022/9/1;9:34:43;26.00;58.00
2022/9/1;9:34:53;26.00;58.00
2022/9/1;9:35:4;26.10;58.00
2022/9/1;9:35:15;26.00;58.00
2022/9/1;9:35:25;26.10;58.00
